OGLE-SMC-ECL-0019   NC   00:22:55.52 -73:53:16.5  SMC708.10.3991   SMC138.6.145    -                   
OGLE-SMC-ECL-0020   NC   00:22:55.55 -72:05:15.3  SMC707.29.1805   SMC140.7.34595  -                   
OGLE-SMC-ECL-0021   NC   00:22:56.27 -73:54:17.1  SMC714.32.1046   SMC138.6.828    -                   
OGLE-SMC-ECL-0022   NC   00:23:00.01 -73:38:30.6  SMC708.18.861    SMC138.5.907    -                   
OGLE-SMC-ECL-0023   NC   00:23:07.75 -73:41:51.3  SMC708.18.1266   SMC138.5.1550   -                   
OGLE-SMC-ECL-0024   C    00:23:24.08 -73:31:55.6  SMC708.18.5238   SMC135.8.47     -                   
OGLE-SMC-ECL-0025   NC   00:23:25.80 -74:22:36.3  -                SMC139.6.2461   -                   
OGLE-SMC-ECL-0026   NC   00:23:29.66 -74:24:11.0  SMC714.14.2783   SMC139.6.2166   -                   
OGLE-SMC-ECL-0027   NC   00:23:33.86 -71:55:26.4  SMC707.28.86338  SMC140.5.6542   -                   
OGLE-SMC-ECL-0028   NC   00:23:33.95 -74:23:13.3  SMC714.14.2796   SMC139.6.2491   -                   
OGLE-SMC-ECL-0029   NC   00:23:34.41 -73:59:28.4  SMC708.09.588    SMC138.7.4424   -                   
OGLE-SMC-ECL-0030   NC   00:23:36.84 -74:26:31.2  SMC714.14.3333   SMC139.6.3620   -                   
OGLE-SMC-ECL-0031   NC   00:23:49.31 -72:13:08.2  -                SMC140.7.16441  -                   
OGLE-SMC-ECL-0032   NC   00:23:50.56 -74:10:13.0  SMC708.01.3964   SMC138.8.3886   -                   
OGLE-SMC-ECL-0033   NC   00:23:53.74 -74:39:30.8  SMC714.14.531    SMC139.7.2873   -                   
OGLE-SMC-ECL-0034   NC   00:24:13.80 -73:36:19.4  SMC708.18.1676   SMC135.8.4004   -                   
OGLE-SMC-ECL-0035   NC   00:24:16.11 -73:49:15.0  SMC708.09.5699   SMC138.6.5349   -                   
OGLE-SMC-ECL-0036   NC   00:24:25.30 -72:13:38.4  SMC707.20.6342   SMC140.2.1657   -                   
OGLE-SMC-ECL-0037   NC   00:24:25.88 -74:22:04.7  SMC708.01.729    SMC139.3.266    -                   
OGLE-SMC-ECL-0038   NC   00:24:26.51 -73:45:50.3  SMC708.09.5236   SMC138.5.5081   -                   
OGLE-SMC-ECL-0039   NC   00:24:26.63 -74:02:35.4  SMC708.09.166    SMC138.7.4230   -                   
OGLE-SMC-ECL-0040   NC   00:24:40.61 -74:02:48.9  SMC708.09.386    SMC138.7.4692   -                   
OGLE-SMC-ECL-0041   NC   00:24:43.55 -74:09:21.0  SMC708.01.4758   SMC138.8.4900   -                   
OGLE-SMC-ECL-0042   NC   00:24:43.90 -71:47:38.1  SMC706.05.5325   SMC140.4.14005  -                   
OGLE-SMC-ECL-0043   NC   00:24:44.92 -72:17:43.6  SMC707.20.7126   SMC140.1.7252   -                   
OGLE-SMC-ECL-0044   NC   00:24:48.88 -74:33:38.4  SMC714.14.434    SMC139.2.272    -                   
OGLE-SMC-ECL-0045   NC   00:24:49.04 -74:10:50.7  SMC708.01.3946   SMC138.8.3967   -                   
OGLE-SMC-ECL-0046   NC   00:24:51.73 -74:20:01.4  SMC708.01.365    SMC139.4.136    -                   
OGLE-SMC-ECL-0047   NC   00:24:56.39 -73:59:50.9  SMC708.09.1083   SMC138.7.5410   -                   
OGLE-SMC-ECL-0048   NC   00:24:56.87 -73:33:31.2  SMC708.18.5688   SMC135.8.3633   -                   
OGLE-SMC-ECL-0049   C    00:25:00.46 -72:00:02.7  -                SMC140.3.45081  -                   
OGLE-SMC-ECL-0050   NC   00:25:00.58 -73:50:43.2  SMC708.09.4534   SMC138.6.4399   -                   
OGLE-SMC-ECL-0051   NC   00:25:05.21 -72:07:44.9  SMC707.27.3802   SMC140.2.29009  -                   
OGLE-SMC-ECL-0052   NC   00:25:06.59 -73:32:23.5  SMC708.17.5637   SMC135.8.3196   -                   
OGLE-SMC-ECL-0053   NC   00:25:12.08 -73:41:16.7  SMC708.17.799    SMC138.5.5394   -                   
OGLE-SMC-ECL-0054   NC   00:25:14.62 -73:58:34.8  SMC714.30.335    SMC138.7.4316   -                   
OGLE-SMC-ECL-0055   NC   00:25:23.75 -73:50:19.4  SMC708.08.6300   SMC138.3.525    -                   
OGLE-SMC-ECL-0056   C    00:25:24.98 -73:14:25.3  SMC713.16.5108   SMC135.6.2940   -                   
