OGLE-BLG-ELL-000039  15.643 17.618   15.2878971  7007.6884  0.107 0.079
OGLE-BLG-ELL-000040  15.755 17.236    0.8424442  7000.5195  0.111 0.083
OGLE-BLG-ELL-000041  17.239 18.746    0.7643281  7000.0865  0.117 0.084
OGLE-BLG-ELL-000042  14.968 16.828    1.2675515  7001.1080  0.046 0.035
OGLE-BLG-ELL-000043  15.704 16.982    0.6587385  7000.6292  0.118 0.114
OGLE-BLG-ELL-000044  13.653 16.823  143.8497058  7003.3309  0.144 0.116
OGLE-BLG-ELL-000045  15.795 17.189    0.8296910  7000.2425  0.079 0.046
OGLE-BLG-ELL-000046  12.936 15.309  118.1531714  7105.0518  0.086 0.078
OGLE-BLG-ELL-000047  13.763 16.610   94.2428015  7018.5037  0.183 0.131
OGLE-BLG-ELL-000048  13.187 15.972  135.5746535  7071.5670  0.109 0.094
OGLE-BLG-ELL-000049  16.252 17.426    1.3739889  7000.9046  0.122 0.098
OGLE-BLG-ELL-000050  13.373 15.763  139.1658676  7018.8173  0.095 0.080
OGLE-BLG-ELL-000051  16.075 17.351    0.6917951  7000.2277  0.074 0.073
OGLE-BLG-ELL-000052  18.138 19.398    0.3872883  7000.1691  0.292 0.254
OGLE-BLG-ELL-000053  16.637 17.883    1.1594500  7000.9026  0.084 0.065
OGLE-BLG-ELL-000054  16.028 17.800   12.5377707  7001.5196  0.072 0.062
OGLE-BLG-ELL-000055  14.384 16.529   20.5356013  7005.8569  0.043 0.039
OGLE-BLG-ELL-000056  16.318 17.694    0.4015342  7000.3159  0.093 0.080
OGLE-BLG-ELL-000057  16.337 17.575    0.9436885  7000.2946  0.100 0.093
OGLE-BLG-ELL-000058  16.723 18.793    7.1513207  7000.2196  0.070 0.047
OGLE-BLG-ELL-000059  14.883 16.871   24.8833593  7022.6081  0.175 0.148
OGLE-BLG-ELL-000060  14.721 16.961   49.1080022  7029.9681  0.112 0.086
OGLE-BLG-ELL-000061  16.051 18.010   17.2250927  7006.6533  0.184 0.150
OGLE-BLG-ELL-000062  15.789 17.075    1.5231223  7000.3838  0.113 0.111
OGLE-BLG-ELL-000063  14.773 16.910   74.3039209  7018.2428  0.038 0.035
OGLE-BLG-ELL-000064  14.257 17.520  117.6132969  7016.1637  0.187 0.152
OGLE-BLG-ELL-000065  12.772 14.489   11.3652598  7004.3078  0.078 0.074
OGLE-BLG-ELL-000066  15.100 17.305   18.9678745  7013.4992  0.144 0.107
OGLE-BLG-ELL-000067  17.097 18.192    0.7965520  7000.7647  0.162 0.157
OGLE-BLG-ELL-000068  16.827 18.965   12.1926358  7004.0429  0.083 0.067
OGLE-BLG-ELL-000069  16.264 18.448   10.0320323  7006.0391  0.136 0.111
OGLE-BLG-ELL-000070  16.689 18.948   10.2638824  7010.1621  0.188 0.131
OGLE-BLG-ELL-000071  15.867 17.588   11.8653675  7003.0906  0.106 0.085
OGLE-BLG-ELL-000072  15.459 16.860    1.3153426  7001.0831  0.098 0.068
OGLE-BLG-ELL-000073  15.820 16.931    0.5626687  7000.0017  0.111 0.086
OGLE-BLG-ELL-000074  16.170 17.745   10.3716505  7003.8778  0.114 0.103
OGLE-BLG-ELL-000075  15.592 16.728    0.5677690  7000.3905  0.097 0.062
